1	first person
EXL	exaltive
EXM	exemplative
EXO	exocentric
EXP	experiential
EXP	explanation
EXPER	experiential
EXPL	exemplative
F	feminine
FAM	familiar
FIL	filler
FILL	filler
FMN	fomal noun
FIN	finite
FL	filler
FN	fomal noun
FNT	finite
FOC	focus
FP	final particle
FRN	formal
FUT	future
GN	genitive
GEN	genitive
GER	gerund
GOL	goal
HAB	habitual
HABIT	habitual
HBT	habitual
HES	hesitation
HMB	humble
HON	honorific
HONV	honorific verb
HOR	hortative
HOR	hortative
HORT	hortative
HS	hearsay
HSY	hearsay
HUM	humble
HUMV	humble verb
HYP	hypothesical
ICP	inceptive
ILST	illustrative
IM	interrogative mood
IMP	imperative
IMPF	imperfective
IMPRF	imperfective
IMPOT	impotential
INC	inceptive
INC	inclusive
INCH	inchoative
INCHO	inchoative
INCL	inclusive
IND	indicative
INDEF	indefinite
INDET	indefinite
INDF	indefinite
INDFZ	indefinitizer
INF	infinitive
INF	infinitive
INF	inferential
INFER	inferential
INFERN	inferential
INFR	inferential
INGR	ingressive
INS	instrumental
INST	instrumental
INSTR	instrumental
INT	invitation
INT	intentional
INTER	interrogative
INTERJ	interjection
INTJ	interjection
INTR	intransitive
IPF	imperfective
IPFV	imperfective
IPRF	imperfective
IRLS	irrealis
IRR	irrealis
IRREV	
ITR	intrerrogative
JUDG	judging
KP	kakari particles
LAT	lative
LCTN	low certainty
LEN	lengthening
LF	lengthened (infinitival) form
LIM	limitative
LINT	lexical intransitive
LMT	limitative
LNK	linker
LOC	locative
LOG	logophoric
LST	listing
LTR	lexical transitive
LV	light verb
M	masculine
M	mood
MAL	malefactive
MAN	manner
MED	medial
MED	medial verb
MES	mesial
MES	mesioproximal
MIR	mirative
MOD	modality
MODAL	modality
MOL	modality
MRT	mirative
MSB	kakari-musubi
N	neuter
N-	non-
NDUR	non-durative
NEG	negative
NFOC	non-focus
NHON	non-honorific
NL	nominal
NLZ	nominalizer
NM	nominative
NMLZ	nominalizer
NMNL	nominalizer
NMNLZ	nominalizer
NMR	nominalizer
NMZ	nominalizer
NOM	nominative
NONPAST	non-past
NPREF	non-perfective
NPRF	non-perfect
NPST	non-past
NR	nominalizer
NRT	narrative
NSF	non-subject focus
NUM	numeral
NZ	nominalizer
OBJ	object
OBL	oblique
OBL	obligative
OBLG	obligative
ODN	ordinary number
OMP	onomatopoeia
OMPT	onomatopoeia
ONLY	only
ONM	onomatopoeia
OPT	optative
ORD	ordinal numbers
P	patient-like argument of canonical transitive verb
PAR	pragmatic marker
PARA	parallel
PART	particle
PASS	passive
PAST	past
PERF	perfect
PF	perfect
PFOC	predicate focus
PFT	perfect
PFV	perfective
PFX	prefix
PL	plural
PLN	plural noun
PLN	place noun
PLT	polite
PLQ	polar question
PLUR	plural
PN	personal name
POL	polite
POS	possibility
POSS	possessive
POT	potential
PPL	participle
PR	prompt
PREC	precative
PRED	predicative
PREP	preparative
PRES	present
PRESUM	presumptive
PREV	previsional
PRF	perfect
PRG	progressive
PRH	prohibitive
PRM	primary
PRM	permissive
PROG	progressive
PROH	prohibitive
PROS	prospective
PROSP	prospective
PROX	proximal/proximate
PRPR	preparative
PRS	present
PRS	prospective
PRT	partitive
PRT	particle
PRV	provisional
PRVSE	previsional
PS	passive
PS	property stem
PST	past
PSU	persuasive
PT	potential
PTCP	participle
PUR	purposive
PURP	purposive
Q	question particle/marker
QP	question particle
QT	quotative
QUESTION	question
QUO	quotative
QUOT	quotative
Q.W	question Yes-No
Q.Y	question WH
REASON	reason
REC	recitation
RECP	reciprocal
RED	reduplication
REF	reflexive
REFL	reflexive
REL	relative
REP	reportative
RES	resultative
RES	reason
RESP	response
RESP	respect
RESTR	restrictive
RFL	reflexive
RGR	regret
RHET	rhetorical
RLS	realis
RLZ	relativizer
RPT	repetition
RPT	reportative
RSL	resultative
RSP	response
RSP	respect
RST	restrictive
S	single argument of canonical intransitive verb
SBJ	subject
SBJV	subjunctive
SE	stem extender
SEEM	seeming
SEL	selective
SEQ	sequential
SF	simple (infinitival) form
SF	sentence final particle
SFP	sentence final particle
SFS	sentence final suffix
SG	singular
SGS	suggestive
SGST	suggestive
SIM	simultaneous
SIMIL	similative
SIML	simultaneous
SLD	solidarity
SLFQ	self-question
SOL	solidarity
SPC	special form
SPNT	spontateity
SUP	supine
STA	state verb
STAT	stative
STM	stem extension
STV	stative verb
SUB	subsidiary
SUFF	suffix
SUGS	suggestive
SUPP	suppositional
TAG	tag question particle
TER	terminative
TERM	terminative
THM	thematic vowel
TEM	temporal
TEMP	temporal
TIM	time
TNR	temporal nominalizer
TOP	topic
TR	transitive
TTL	title
U	single argument of intransitive verb
UMRK	unmarked verbal affix
UPDT	information updater
VA	verbal adjective
VBLZ	verbalizer
VBZ	verbalizer
VFOC	verbal focus
VLZ	verbalizer
VOC	vocative
VOL	volitive
VR	verbalizer
VRB	verbalizer
VZ	verbalizer
WH	wh question
WHQ	wh question
YNQ	yes-no question
